recno,TYC1,TYC2,TYC3,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
598558,2579,2072,1,7.4,5.772,79358,242.95025444,36.42516
600407,2587,70,1,5.749,5.554,80460,246.35069028,37.39408028
602366,2596,1317,1,6.126,5.453,84862,260.16448472,32.47013278
602367,2596,1318,1,4.627,4.823,84573,259.33154278,33.10011389
605958,2613,2217,1,5.928,5.928,85382,261.69235083,34.69570194
606856,2617,2081,1,7.335,6.35,85181,261.11305361,36.95182667
603728,2604,1777,1,4.471,4.504,85112,260.92071556,37.14592472
602018,2594,1823,1,5.298,5.269,83313,255.4014975,33.56826917
602753,2598,1660,1,6.328,6.101,83494,255.97341222,34.79023694
602752,2598,1659,1,8.167,6.429,83462,255.87581333,35.41414861
603581,2603,1829,1,5.764,5.436,83838,257.00866917,35.93521472
603726,2604,1774,1,5.022,3.292,84380,258.76188833,36.80915611
603727,2604,1775,1,4.657,4.623,84606,259.41785417,37.29135194
750200,3073,2071,1,7.251,6.075,84656,259.59699889,38.81122444
606956,2618,1281,1,7.384,6.232,86096,263.92651417,37.30158833
752444,3087,2290,1,7.03,6.489,85688,262.66753333,38.88216944
753699,3093,1948,1,7.762,6.156,87445,268.01970611,39.98197083
753697,3093,1947,1,6.705,5.278,87563,268.3250925,40.00784167
753089,3090,1896,1,6.371,5.636,84949,260.43172,39.97480083
753276,3091,2146,1,7.121,5.847,85888,263.28045333,41.24359222
755011,3100,2307,1,7.895,6.492,86501,265.15632667,43.47053611
881498,3511,2143,1,7.745,5.858,88122,269.98418083,45.50145722
881323,3511,318,1,6.392,6.469,88030,269.7179425,45.47615694
881419,3511,1256,1,7.726,6.499,87434,268.0036875,46.64384611
749692,3070,1595,1,4.632,3.577,81833,250.72391361,38.92245444
750552,3076,781,1,6.368,6.338,83816,256.94460917,40.51613611
750639,3076,1566,1,6.72,5.209,83947,257.38866833,40.777015
751806,3084,690,1,6.568,6.455,83593,256.270585,43.81223917
750994,3079,31,1,7.696,6.412,82419,252.65061333,41.89635417
750890,3078,360,1,7.87,6.096,82172,251.83227111,42.23897639
748835,3066,2213,1,4.177,4.193,81126,248.52578611,42.43690389
751553,3082,784,1,7.806,6.308,82355,252.41905722,43.43046028
751604,3082,1463,1,7.941,6.226,82012,251.29917361,43.2172875
881290,3510,1876,1,3.581,3.763,86414,264.86621611,46.00632194
881917,3514,620,1,6.578,6.477,87045,266.78351972,47.61222306
880890,3508,1742,1,7.553,5.674,84835,260.0881075,46.24068806
881732,3513,482,1,5.98,5.839,85379,261.68434222,48.26007333
881603,3512,684,1,6.84,6.409,84855,260.140015,48.18879861
881724,3513,423,1,6.829,5.481,86182,264.15678083,48.58548889
883560,3523,1685,1,5.064,5.022,87212,267.26805028,50.78056556
883559,3523,1684,1,4.246,2.381,87833,269.15157222,51.48894944
883257,3522,376,1,7.357,6.113,86561,265.34084917,51.81818028
597523,2574,1972,1,6.945,5.694,77048,235.99716611,32.51582639
598559,2579,2093,1,6.5,5.87,78649,240.83066333,36.63181889
598323,2578,1609,1,6.075,4.908,77655,237.80807278,35.65819222
598322,2578,1608,1,7.628,5.772,78276,239.74040111,36.64371
746276,3054,2094,1,5.838,5.466,78012,238.94819278,37.94677111
597522,2574,1971,1,7.443,6.245,76617,234.70356806,34.67507778
598142,2577,1754,1,4.847,4.962,76669,234.84451028,36.63582778
