recno,TYC1,TYC2,TYC3,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
9734,58,1618,1,4.687,2.716,14135,45.56991167,4.08992139
134397,641,985,1,4.567,4.681,13954,44.92873833,8.90739861
135691,650,1471,1,4.721,3.705,15900,51.20348028,9.02905611
135689,650,1469,1,3.647,3.715,16083,51.79217583,9.73276861
8728,52,1681,1,5.96,4.968,12093,38.96869944,5.59329806
134673,643,937,1,4.635,4.305,12828,41.23493472,10.11421611
132943,632,1491,1,4.223,4.261,11484,37.03966556,8.4600875
136461,656,1725,1,5.551,4.246,16369,52.71819694,12.93668139
275134,1273,1104,1,4.813,3.635,20889,67.15390278,19.18051806
275065,1272,1126,1,5.227,4.947,19990,64.31535194,20.57874139
274227,1262,1645,1,5.708,4.463,19038,61.17359444,22.08206278
270302,1228,2019,1,5.658,4.452,14838,47.90698333,19.72669917
272275,1244,1190,1,4.86,4.867,15110,48.72547694,21.0446225
406031,1800,2204,1,4.085,4.152,17608,56.58150528,23.94845917
405874,1799,1441,1,3.558,3.674,17499,56.21885222,24.11344611
405872,1799,1439,1,3.775,3.849,17573,56.45664139,24.36785556
406501,1803,1585,1,4.158,4.272,17531,56.30201028,24.46737556
406030,1800,2203,1,3.517,3.601,17847,57.29054722,24.05352028
406029,1800,2202,1,2.77,2.834,17702,56.87110528,24.10523889
266775,1209,1835,1,4.491,4.517,8832,28.38236806,19.2940775
266774,1209,1833,1,4.553,4.584,8832,28.38238389,19.29618694
267361,1212,1935,1,2.827,2.651,8903,28.65979889,20.8082825
399944,1758,2416,1,3.487,2.125,9884,31.79289556,23.46276111
399708,1757,1964,1,5.114,4.802,9153,29.48238333,23.59609472
404711,1789,1490,1,3.478,3.579,13209,42.49580194,27.26078056
405500,1796,1306,1,6.527,4.639,15549,50.08485778,29.04849806
546859,2349,1954,1,6.742,4.993,15416,49.68260056,34.22267333
403040,1776,1395,1,4.482,4.624,12719,40.86296361,27.70717111
405190,1793,1611,1,5.939,4.639,13061,41.9768625,29.24741333
544440,2334,1042,1,6.599,4.735,13328,42.87846194,35.05988778
696063,2847,1572,1,5.372,3.539,14354,46.29376056,38.840525
695812,2846,1429,1,4.635,4.253,13254,42.6455125,38.31889972
696877,2850,2115,1,4.765,4.69,13879,44.69021833,39.66282611
275586,1277,1626,1,4.38,4.215,20635,66.34209889,22.29397944
408549,1816,1893,1,4.599,4.303,20711,66.57666278,22.81369
410183,1830,2129,1,4.11,4.239,21881,70.56126472,22.95697556
553807,2391,1446,1,4.666,2.83,23015,74.24839889,33.1661325
548653,2361,2820,1,2.955,2.858,18246,58.53299361,31.88365861
554688,2394,2027,1,6.176,4.689,24727,79.54395417,33.37199667
708390,2896,2101,1,5.065,4.847,24340,78.35721306,38.48467
709909,2900,2157,1,5.438,4.761,24813,79.78375417,40.10064444
713660,2911,1795,1,5.72,4.623,27483,87.29358028,39.18113417
848778,3361,1787,1,6.484,4.516,28404,89.9837525,45.93675222
555652,2399,1843,1,6.59,4.939,22678,73.15832667,36.70319722
709456,2899,2236,1,5.236,3.888,23453,75.619505,41.07589278
709457,2899,2237,1,2.957,3.123,23767,76.62862806,41.23464083
706145,2888,2054,1,5.759,4.374,21476,69.17264083,41.26485444
712179,2907,1275,1,3.644,3.069,23416,75.49223306,43.82331361
976735,3750,1042,1,5.009,3.832,28358,89.88148111,54.284965
548314,2359,1258,1,3.912,3.906,17448,56.07969472,32.2882725
548993,2363,2185,1,4.9,4.962,17313,55.59434722,33.96503917
550265,2369,2273,1,4.002,4.026,18614,59.74124694,35.79102722
704786,2882,2046,1,5.901,4.797,19811,63.72212472,40.48372333
701775,2868,1623,1,2.66,2.854,18532,59.46342333,40.01027056
697461,2852,2474,1,6.044,4.732,14817,47.82250139,39.61157278
703124,2873,3762,1,5.027,4.954,15648,50.36085306,43.32965222
702567,2871,2573,1,4.277,3.813,17529,56.29851139,42.57854333
842149,3332,2427,1,3.944,3.982,19343,62.16530694,47.71259111
842148,3332,2426,1,5.311,4.238,19812,63.72440694,48.40937111
842831,3335,2097,1,4.252,4.263,19167,61.64605806,50.35135028
838591,3317,3034,1,2.849,2.963,17358,55.73117889,47.78764667
838590,3317,3033,1,4.233,4.295,16826,54.12233972,48.19269694
838312,3316,2308,1,6.131,4.492,16335,52.64367944,47.99517444
841396,3329,2516,1,4.746,4.803,20354,65.38812028,46.49896194
973224,3734,2320,1,4.416,4.43,23040,74.3217425,53.75207944
977713,3754,939,1,5.021,4.966,27949,88.71160889,55.70690833
843087,3336,2435,1,4.656,4.6,20070,64.56074194,50.29563917
1072043,4079,2478,1,5.134,4.123,23522,75.85456889,60.44228
397417,1747,2263,1,6.002,4.786,5742,18.43723417,24.58376028
398338,1751,2178,1,4.804,4.753,6193,19.86657389,27.26408417
401216,1763,3028,1,3.984,3.457,8796,28.27041917,29.57936528
533750,2278,1260,1,5.911,4.633,5586,17.91495083,30.08972778
535183,2286,1329,1,4.155,2.244,5447,17.43250583,35.62083028
541459,2318,1875,1,4.025,3.999,10670,34.32848944,33.84731556
541458,2318,1874,1,5.597,4.933,10644,34.2602675,34.22480389
541259,2317,1647,1,3.196,3.017,10064,32.38552917,34.98738639
690583,2829,2251,1,4.935,4.804,9977,32.121475,37.85917722
696624,2849,2054,1,5.612,4.961,12623,40.56219972,40.19436556
692962,2837,2311,1,3.984,2.308,9640,30.97467083,42.32984306
687686,2819,2290,1,4.841,4.942,7818,25.14501944,40.57710333
688514,2822,2210,1,4.736,4.152,7513,24.19986944,41.4063425
681974,2798,1667,1,4.026,3.868,4436,14.18794139,38.49926139
533902,2279,1665,1,4.184,4.319,2912,9.22016389,33.71935111
682823,2801,2090,1,4.343,4.496,3881,12.45346361,41.07895056
532909,2273,2081,1,4.59,4.512,1473,4.58209528,36.78532444
677675,2782,2251,1,4.677,4.607,1366,4.27305611,38.68167694
816091,3253,1987,1,5.164,4.972,3414,10.86704167,47.02463111
816092,3253,1988,1,4.411,4.463,3504,11.18126583,48.28438111
820730,3265,2401,1,5.33,4.874,6813,21.91292472,45.40694028
820729,3265,2400,1,6.252,4.988,6411,20.58498028,45.52875833
826542,3282,2271,1,5.247,3.719,7607,24.49793778,48.62847361
821700,3268,1358,1,4.218,4.284,5434,17.37553806,47.24180694
829541,3291,2118,1,3.898,4.011,8068,25.91506417,50.68876472
951918,3673,1923,1,4.536,4.343,5542,17.7747575,55.14994389
817712,3257,2189,1,4.645,4.775,3300,10.51618667,50.51254083
823804,3274,2090,1,4.767,4.875,3801,12.20830889,50.96819028
942768,3654,2132,1,3.421,3.628,2920,9.24278389,53.89693
944832,3658,2414,1,4.652,4.756,2505,7.94297694,54.52226306
947475,3663,2668,1,3.729,2.349,3179,10.12662278,56.53740694
947905,3664,1985,1,2.689,2.299,746,2.29214722,59.15019444
947476,3663,2669,1,4.142,3.518,3821,12.27143833,57.81649972
955537,3680,1839,1,5.829,4.728,4422,14.16669528,59.18115972
955538,3680,1840,1,6.399,4.957,4292,13.75079722,58.97279139
1053357,4017,2318,1,5.441,4.848,4151,13.26781861,61.12358222
1054679,4019,3949,1,4.283,4.183,2599,8.24994722,62.93178694
699642,2859,2274,1,5.028,3.889,14668,47.37348361,44.85788
838836,3318,1840,1,4.759,4.107,14632,47.262305,49.61349111
834590,3304,2737,1,4.685,4.155,12777,41.04876528,49.22865472
966014,3701,1394,1,4.85,4.013,13531,43.56443,52.76249
839300,3320,2815,1,4.851,4.962,16147,52.01271,49.06293083
839294,3320,2810,1,4.581,4.715,16244,52.34180167,49.50901472
966013,3701,1393,1,3.77,2.992,14328,46.1991275,53.50645167
969242,3715,1250,1,5.155,4.642,16281,52.47810944,58.87875194
833803,3302,1892,1,6.742,4.895,11313,36.40584361,50.27866444
966681,3704,1332,1,5.939,3.942,13268,42.67413972,55.89552694
959425,3689,131,1,4.901,4.98,9505,30.57531639,54.48754917
967772,3709,1135,1,6.073,4.88,14382,46.38510583,56.70555778
969239,3715,1248,1,4.623,4.233,16228,52.26723139,59.94033389
1069833,4067,1937,1,4.871,4.943,18505,59.35598361,63.07225056
1074814,4091,2094,1,4.273,4.292,22783,73.51254528,66.34266222
1069831,4067,1935,1,5.736,4.894,17587,56.50971861,63.34506778
1070665,4071,1894,1,6.876,4.625,17884,57.38035722,65.52600583
1068071,4061,1593,1,4.586,4.712,15520,49.99690389,65.652325
1134116,4335,2106,1,4.674,4.611,17959,57.58949056,71.33236083
956834,3683,2185,1,5.938,4.791,7294,23.48301361,59.23209389
1058790,4031,3289,1,2.842,2.663,6686,21.45259417,60.23539778
1061089,4036,2834,1,3.162,3.313,8886,28.59868472,63.67014306
1067710,4058,1504,1,4.732,4.627,11569,37.26661028,67.40238944
1128477,4310,902,1,4.854,4.953,9009,29.00001528,68.68526472
1129564,4315,2126,1,4.787,4.647,9480,30.48977139,70.90704306
1125100,4297,1685,1,6.069,4.844,6692,21.48295333,68.12995139
1130567,4319,1847,1,3.962,3.94,9598,30.85911139,72.4212425
1131745,4325,1562,1,4.894,4.84,14862,47.98433361,74.39385833
1202242,4623,1236,1,5.821,4.364,5372,17.18417639,86.25711667
1202628,4628,237,1,2.708,2.038,11767,37.94661861,89.26413528
55127,224,1334,1,4.305,4.332,43234,132.10825111,5.83788583
55126,224,1333,1,4.25,3.488,43109,131.69432472,6.41890917
55249,225,1116,1,4.387,3.21,43813,133.84867333,5.94552917
179671,821,2130,1,4.099,3.562,47508,145.28797583,9.89239417
54947,223,1795,1,4.152,4.132,42313,129.41419167,5.7038
178142,814,3029,1,4.427,4.268,44066,134.62165972,11.85777222
311922,1412,1695,1,3.462,3.49,49583,151.83313889,16.76266528
313736,1423,1351,1,5.332,4.834,50564,154.93459306,19.47142889
442325,1960,1550,1,3.955,3.042,47908,146.46292083,23.77427889
443125,1964,1473,1,5.489,4.013,48455,148.19145528,26.00708861
442128,1959,1582,1,6.323,4.475,46750,142.93016528,22.96806278
308742,1396,2758,1,5.311,4.048,42911,131.17129278,18.15485889
309420,1399,2905,1,4.68,4.654,42806,130.82170167,21.46859444
441368,1955,1904,1,6.051,4.599,46146,141.16365889,26.18244
581388,2496,1728,1,5.156,3.291,45860,140.26437194,34.39252972
440072,1949,2011,1,5.252,4.126,43103,131.67430806,28.760005
731259,2983,1983,1,5.845,4.653,44700,136.63244333,38.4522475
444014,1969,1261,1,3.795,3.455,50335,154.17252222,23.41732917
584437,2512,1144,1,5.694,4.768,52098,159.68005444,31.97622056
586365,2521,2271,1,5.14,3.905,53229,163.32767472,34.21554083
583886,2509,1343,1,4.707,4.498,49593,151.85719528,35.24469194
584757,2514,1294,1,5.035,4.751,51056,156.47859611,33.79625389
585232,2517,1209,1,5.354,4.304,51233,156.9711925,36.70746111
735379,3005,1206,1,4.97,4.742,51658,158.30828944,40.4255425
586027,2520,2634,1,4.92,4.327,,169.54664306,31.53051583
