TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
163,168,1,13.062,,108.71155389,1.71853056,36928
163,827,1,13.071,,108.32150861,0.05447333,37074
163,856,1,13.444,,107.76755556,1.65972444,37082
163,1215,1,13.907,,107.56704,0.79673861,37148
164,1581,1,13.242,,109.94248361,0.88953583,37710
165,900,1,13.091,,111.09322972,0.670415,38085
166,1688,1,13.149,,105.43548778,3.00906889,38520
166,2303,1,13.484,,105.54865194,3.73148833,38627
167,511,1,13.495,,108.38406639,2.22453694,38885
169,313,1,13.348,,111.43512528,2.02000056,39858
169,482,1,13.264,,111.952465,2.02436583,39892
169,1026,1,13.075,,111.30097028,3.364605,40029
170,162,1,13.573,,106.02223361,5.03887778,40249
170,749,1,13.853,,106.09236167,5.11383556,40358
170,1139,1,13.173,,106.273255,4.30237389,40425
170,1883,1,13.096,,106.00484972,5.00014083,40566
170,2696,1,13.102,,106.22515972,3.76622861,40728
171,1662,1,13.151,,108.01402694,5.40821611,40978
171,3337,1,13.069,,108.17965389,4.61483,41153
172,585,1,13.151,,109.41002278,5.14417333,41360
172,2614,1,13.213,,110.03468389,5.44375389,41620
173,903,1,13.216,,112.42194167,3.87435583,41844
173,1174,1,13.261,,110.68873944,4.94154472,41883
173,1257,1,13.119,,111.60654278,3.87973389,41895
174,67,1,13.073,,106.34437972,6.91956778,42181
174,70,1,13.081,,106.79430833,7.18643722,42183
174,536,1,13.12,,106.44388028,7.11523889,42302
174,956,1,13.132,,105.67486556,6.52404389,42400
176,1205,1,13.118,,110.59725917,7.43753889,43406
176,3118,1,13.087,,109.95266583,6.08808361,43683
177,1384,1,13.072,,111.04969667,6.22772167,43944
182,727,1,13.118,,112.66327528,2.47660472,45417
183,2223,1,13.101,,114.48857,3.17788333,46008
186,322,1,13.321,,114.22677972,4.47367306,46593
186,2161,1,13.189,,113.57455917,4.7872975,46900
187,1102,1,13.261,,115.19300222,5.46339417,47147
187,1105,1,13.102,,114.62731444,4.21726028,47148
192,1311,1,14.004,,117.58160306,6.12103917,48751
195,2036,1,14.366,,122.89686694,0.05492722,49398
199,709,1,13.086,,123.49377528,2.56927722,50139
199,1677,1,13.306,,122.38437333,3.16198917,50255
201,79,1,13.442,,125.75762722,2.02216583,50549
201,123,1,13.595,,125.79628861,1.91475861,50554
201,517,1,13.242,,127.43680694,2.42583694,50589
201,1449,1,13.476,,126.902015,3.42701444,50684
210,337,1,13.141,,127.96782528,0.23324972,52439
214,987,1,13.107,,128.75302583,3.5791175,53176
215,1004,1,13.138,,130.21570222,2.83537944,53391
216,1110,1,13.24,,132.63940833,2.95281806,53603
218,35,1,13.285,,128.48436472,4.595355,53849
218,701,1,13.142,,127.51669972,3.87744278,53927
218,725,1,13.297,,127.79482444,5.40382028,53929
218,1517,1,13.304,,127.64449361,3.77860917,54014
218,1630,1,13.14,,129.09132111,3.98836389,54021
222,1196,1,13.886,,129.19259222,5.94061583,54699
223,682,1,13.229,,130.28054611,7.154035,54826
224,80,1,13.292,,132.65864333,7.35475722,54955
227,1976,1,13.482,,139.49100972,0.67095722,55633
229,183,1,13.087,,135.17604194,4.20727611,55930
229,783,1,13.343,,136.74264444,4.45412056,56013
232,288,1,13.255,,136.46380139,6.82942556,56712
