TYC1,TYC2,TYC3,VTmag,HIP,RA(ICRS),DE(ICRS),recno
2,345,1,12.672,,3.63916889,2.49027472,203
2,347,1,12.289,,3.54161306,2.48611306,204
2,355,1,12.013,,2.54350417,2.46717583,205
2,366,1,12.473,,2.74604778,1.87626556,206
2,371,1,11.865,,2.67514222,1.86855667,208
2,372,1,11.99,,3.52642889,2.44702083,209
2,376,1,11.103,,3.77094944,1.170215,211
2,378,1,11.243,,3.3539975,2.43844389,212
47,628,1,11.511,,41.31658889,0.68759139,7832
2,378,2,11.916,,3.35419361,2.43882278,213
2,394,1,11.421,,3.14551944,1.19478056,214
2,403,1,11.94,,3.72830861,1.20553306,216
2,424,1,11.072,,2.94226306,2.35409444,219
2,428,1,11.199,,2.50737333,2.01730722,220
2,451,1,11.413,,3.31359167,1.75154306,222
2,454,1,11.454,,3.27390222,2.02907306,223
2,463,1,11.606,,3.7288,2.30723722,225
2,471,1,11.731,,2.63362611,1.42045833,227
2,473,1,12.471,,3.11530556,2.29989917,228
2,493,1,11.88,,2.91403917,1.44667694,229
2,500,1,13.158,,3.10078139,2.27442444,230
2,508,1,11.755,,3.46543222,1.46741583,231
2,518,1,11.464,,2.82175306,1.34828,232
2,532,1,11.421,,3.36868028,1.48316361,233
2,536,1,11.213,,2.73577806,2.24021444,234
2,567,1,11.18,,2.98684528,2.19776472,237
2,571,1,12.045,,3.21966361,2.18407278,238
2,579,1,11.507,,3.47917472,2.18002583,239
2,596,1,11.025,,3.67674833,1.61403639,240
2,601,1,12.446,,2.79331861,1.62837417,242
2,613,1,11.566,,3.339655,2.12364139,243
2,648,1,11.083,,3.10560278,1.26662389,244
2,650,1,11.203,,2.70267111,2.07567528,246
2,653,1,11.73,,2.90951583,1.6732375,247
2,654,1,11.293,,3.16728111,2.06575833,248
2,666,1,12.329,,2.94677,1.68146778,249
2,686,1,11.141,,4.76541056,2.44236667,251
2,734,1,12.767,,4.0905225,1.52653806,259
2,781,1,12.126,,4.78520389,0.83012972,262
2,795,1,11.053,,4.85981028,0.91882694,264
2,804,1,11.43,,4.90848778,2.47516028,265
2,844,1,12.043,,4.51573139,1.31586694,270
2,849,1,11.689,,4.75006306,0.47853222,271
2,850,1,11.514,,4.92110917,2.26609889,272
2,857,1,12.052,,4.94252139,0.0969175,273
2,892,1,11.962,,3.89182722,1.38251306,274
2,901,1,11.331,,4.51285361,0.15971139,275
2,909,1,11.962,,4.3257325,0.72481333,276
2,916,1,12.164,,4.31364139,2.14514361,278
2,929,1,12.549,,4.63217,0.9063325,280
2,946,1,11.467,,4.86189583,2.2428775,281
2,953,1,11.587,,4.01146639,0.82080889,283
2,958,1,11.989,,3.97307694,2.29397972,285
2,962,1,11.981,,4.95259333,1.7363125,288
2,965,1,12.106,,4.1903125,0.97440222,289
2,966,1,12.135,,4.94407139,1.266615,290
2,967,1,11.733,,4.52706611,0.71510139,291
2,969,1,11.381,,4.78661417,0.10243,292
2,978,1,11.004,,4.00486667,2.12651528,293
2,1009,1,11.892,,4.27719306,0.87181139,294
2,1027,1,11.503,,4.43596167,0.04118833,295
2,1028,1,12.186,,4.44322278,2.06994056,296
2,1029,1,11.239,,4.45158556,0.78448278,297
2,1033,1,12.333,,4.55731694,0.45769111,298
2,1054,1,11.967,,4.79859556,1.92567139,300
2,1055,1,12.491,,4.43605778,0.01322028,301
2,1060,1,11.313,,3.96540472,1.81054306,302
2,1070,1,11.138,,4.0833625,2.33910444,304
2,1076,1,11.286,,4.16592083,1.88696306,306
2,1104,1,11.11,,4.479485,1.48435111,310
2,1106,1,12.309,,4.75988806,1.42290056,311
2,1108,1,11.841,,3.99305944,1.16294278,312
2,1130,1,11.428,,4.31289722,1.81561861,315
2,1153,1,12.463,,4.99796,1.65710722,318
2,1155,1,11.347,,3.96171472,1.20039278,320
2,1164,1,11.06,,4.52632,2.04603861,321
2,1182,1,12.16,,3.97466972,1.44781222,324
2,1188,1,11.947,,3.9788525,1.42383417,325
2,1207,1,11.056,,4.30183361,1.34795167,329
2,1208,1,12.216,,3.89255444,1.54287361,330
2,1212,1,11.876,,4.61131833,1.32263333,332
2,1240,1,12.436,,3.88244778,1.02189889,337
2,1245,1,11.39,,3.92559278,1.23655444,338
3,1,1,11.636,,7.48563611,1.87678611,341
3,3,1,11.946,,7.48880583,2.43461083,342
3,4,1,11.813,,7.46580778,1.31373056,343
3,32,1,11.401,,6.00835583,2.44873139,344
3,52,1,11.722,,5.08270139,2.43432778,346
3,56,1,11.685,,5.31769694,1.56583056,347
3,76,1,11.293,,5.54829417,2.49776472,350
3,107,1,11.876,,5.23849639,1.28101083,353
3,142,1,11.168,,6.66419833,1.41089472,356
3,149,1,11.556,,6.738645,0.90042722,358
3,175,1,11.414,,5.36773944,1.49813611,360
3,176,1,11.613,,6.61687222,0.88007972,361
3,185,1,11.979,,5.31608722,2.41458972,363
3,207,1,12.459,,5.76449861,1.40827528,366
3,226,1,11.816,,5.11966028,1.96167111,367
3,239,1,12.411,,6.45410056,1.70611861,369
3,244,1,11.967,,5.45307556,1.21271972,370
114,431,1,11.499,,82.60361722,0.1941175,20224
3,263,1,11.665,,6.97299444,1.62528389,371
3,266,1,13.026,,5.72538889,1.24957194,372
3,273,1,11.819,,6.82518056,2.32483083,374
3,293,1,11.315,,5.82176944,1.89763917,376
3,317,1,12.096,,5.43951528,2.07180611,379
3,343,1,11.778,,5.30060806,1.44513278,381
3,357,1,11.037,,5.40845611,0.66626694,383
3,359,1,11.543,,6.87942722,1.15873389,384
3,368,1,12.219,,5.19735139,1.96292472,387
3,394,1,11.04,2331,7.45518944,2.48220972,389
3,398,1,11.79,,5.88040361,1.64168361,390
3,410,1,11.074,,5.74077583,2.37630667,393
3,420,1,12.257,,6.91114389,1.531885,395
3,421,1,12.142,,6.72981639,1.604965,396
3,431,1,12.623,,6.63225833,1.76416417,398
3,436,1,11.6,,5.39861944,0.48511028,399
3,440,1,12.42,,6.50887722,0.50940806,400
3,444,1,11.706,,5.39561361,1.05153,401
3,456,1,11.41,,5.63634528,1.96141028,402
3,460,1,11.912,,5.10693806,2.28510806,403
3,483,1,11.002,,7.13760528,2.10429389,406
3,517,1,12.247,,5.53307694,1.03017306,410
3,528,1,11.931,,6.15646722,1.86258306,412
3,540,1,11.749,,6.99231806,0.88738944,413
3,572,1,11.698,,7.08257028,1.23051111,414
3,579,1,11.263,,5.12228806,1.00586361,415
3,580,1,11.549,,6.51072806,0.91264917,416
3,584,1,12.025,,5.76641361,0.35757361,417
3,601,1,11.797,,7.21147417,0.67779722,418
3,611,1,11.233,,6.73657639,1.15056167,419
3,616,1,11.913,,6.12757556,0.30361833,420
3,617,1,12.367,,5.51593056,1.92695194,421
3,624,1,12.09,,7.35990861,1.46768444,422
3,630,1,12.624,,6.236755,2.14031417,424
3,640,1,11.754,,5.48789917,1.32332333,425
3,641,1,11.793,,6.95554833,1.93432333,426
3,662,1,11.535,,5.18091889,0.68232833,428
3,672,1,11.674,,6.80415222,1.88946111,429
3,685,1,11.706,,6.63283972,1.17882611,430
3,708,1,11.804,,5.08998611,1.20191,433
3,713,1,11.602,,5.55802361,1.59146667,435
3,722,1,11.527,,5.38279778,0.35565889,438
3,735,1,11.725,,5.33809167,1.85154944,439
3,742,1,11.04,,6.02043,0.38810694,440
3,744,1,11.694,,5.85843028,2.4559,442
3,747,1,11.463,,5.84324917,1.05317639,443
3,748,1,11.281,,6.98308278,1.21931472,444
3,751,1,11.699,,7.14031278,1.34447944,445
3,771,1,12.084,,6.64956333,0.81835167,448
3,786,1,11.938,,6.73197917,0.17968917,450
3,796,1,11.878,,7.01589083,1.64408056,451
3,797,1,12.458,,5.83784194,0.95470528,452
3,826,1,12.283,,5.6762275,0.10120111,454
3,827,1,11.347,,5.09775611,0.67621611,455
3,831,1,11.316,,7.16197944,1.03088167,456
3,873,1,11.25,,5.31595306,1.86916222,461
3,880,1,11.223,,6.99388639,0.04416056,463
3,915,1,11.298,,6.67673639,1.18245417,466
3,919,1,12.35,,6.49579611,0.50972972,467
